conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,83811E+18;Mon Sep 23 07:13:42 +0000 2024;0;Luar Biasa! Desain Interior Istana Garuda IKN Karya Anak Bangsa. Sekretaris Cellos Putusin Sobek Kali Bekasi https://t.co/47VyLfuHag;1,83811E+18;https://pbs.twimg.com/media/GYJLNMQbgAAkixB.jpg;;in;;0;0;0;https://x.com/SharaAcbar/status/1838114504087101794;1,54019E+18;SharaAcbar
1,83766E+18;Sun Sep 22 01:17:25 +0000 2024;1;Desain Istana Garuda IKN Terinspirasi Penyatuan 1.300 Suku Indonesia Speed L yogyakarta big L minggir lu miskin malming papua iphone 15 minggu #HMSTR https://t.co/eT2xdwwdEv;1,83766E+18;https://pbs.twimg.com/media/GYCu-8Qb0AELrnb.jpg;;in;;0;1;1;https://x.com/RajaHadian/status/1837662452039012610;1,63076E+18;RajaHadian
1,8344E+18;Fri Sep 13 01:01:54 +0000 2024;0;Patung Garuda di Istana Garuda Ibu Kota Nusantara (IKN) sudah mulai berubah warna menjadi hijau. Semula berwarna gelap kemerah-merahan ketika selesai dibangun kini warna Patung Garuda berubah seperti desain awalnya #TGIMKBFM https://t.co/F8RHFOpwq6;1,8344E+18;;;in;Malang, Indonesia;0;0;0;https://x.com/kalimaya_malang/status/1834397058146730066;280794125;kalimaya_malang
1,83437E+18;Thu Sep 12 23:08:35 +0000 2024;24;Patung Garuda di Istana Garuda Ibu Kota Nusantara (IKN) sudah mulai berubah warna menjadi hijau.Semula berwarna gelap kemerah-merahan ketika selesai dibangun kini warna Patung Garuda berubah seperti desain awalnya. Cherry Lai Indodax Towel Belanda PSSI Gadis Kretek Malam Jumat https://t.co/VZSgNW6pKc;1,83437E+18;https://pbs.twimg.com/media/GXT8d0VakAA0cVC.jpg;;in;;2;8;15;https://x.com/Nidyna10/status/1834368540968960127;1,71031E+18;Nidyna10
1,83437E+18;Thu Sep 12 23:02:27 +0000 2024;21;Patung Garuda di Istana Garuda IKN sudah mulai berubah warna menjadi hijau. Semula berwarna gelap kemerah-merahan ketika selesai dibangun kini warna Patung Garuda berubah seperti desain awalnya. #eSportPON2024 Cherry Lai Indodax Towel Belanda PSSI Gadis Kretek Malam Jumat https://t.co/3A7TRCJixn;1,83437E+18;https://pbs.twimg.com/media/GXT7Cw_bgAA3NQm.jpg;;in;DKI Jakarta, Indonesia;0;6;13;https://x.com/rasa2086/status/1834366995481203007;1,29049E+18;rasa2086
1,83334E+18;Tue Sep 10 03:19:43 +0000 2024;0;Patung Garuda yang megah di Istana Garuda IKN kini mengalami perubahan warna yang signifikan. Setelah awalnya tampak berwarna gelap kemerah-merahan patung ini kini mulai menunjukkan warna hijau yang sesuai dengan desain awalnya. Yuk Baca Beritanya https://t.co/ovqyZxbxmn;1,83334E+18;;;in;Samarinda;0;0;0;https://x.com/ExposeKaltim/status/1833344574447604192;1,80221E+18;ExposeKaltim
1,82983E+18;Sat Aug 31 10:46:37 +0000 2024;0;Bongkar aja Cek Fakta: Desain Istana Garuda IKN saat Ini Ternyata Bukan Desain Awal sudah Diubah karena Alasan Ketinggalan Zaman https://t.co/05wjKYPjM8;1,82983E+18;;;in;Indonesian;0;0;0;https://x.com/Bons631/status/1829833162392027491;1,34732E+18;Bons631
1,82977E+18;Sat Aug 31 06:28:23 +0000 2024;0;Menurut saya ini bkn melulu kehendak Pak Jokowi semata.. IKN dicetuskan ktk pas menang Pilpres 2019.. melihat desain dan arsitek dr istana negara saya curiga bhw ada andil besar dr Ibu Mega trhdp ide bentuk istana garuda.. pd wkt itu pengaruh beliau dlm pmrntahan Pak Jkw besar ;1,82977E+18;;;in;;0;0;0;https://x.com/Masdjodi1/status/1829768178940928277;1,06959E+18;Masdjodi1
1,82882E+18;Wed Aug 28 15:58:19 +0000 2024;0;Bukan Istana Garuda Karya Nyoman Nuarta Inilah Juara 1 Sayembara Desain IKN yang Tak Dipakai Jokowi karena.... https://t.co/tU42vnUefq;1,82882E+18;;;in;;0;0;0;https://x.com/i_sujari31350/status/1828824441842979145;1,63896E+18;i_sujari31350
1,82875E+18;Wed Aug 28 11:05:23 +0000 2024;30;KETIKA PEMENANG BUKAN YANG DIJADIKAN IKN. Bukan Istana Garuda Karya Nyoman Nuarta Inilah Juara 1 Sayembara Desain IKN yang Tak Dipakai Jokowi karena....? https://t.co/yEaicpGjqC;1,82875E+18;;;in;ÜT: 6.307611,6.744946;0;3;12;https://x.com/ethadisaputra/status/1828750720952393927;55300590;ethadisaputra
